teamname,playername
Delhi Capitals,Rishabh Pant
Delhi Capitals,Ravichandran Ashwin
Delhi Capitals,Avesh Khan
Delhi Capitals,Sam Billings
Delhi Capitals,Tom Curran
Delhi Capitals,Shikhar Dhawan
Delhi Capitals,Praveen Dubey
Delhi Capitals,Shimron Hetmyer
Delhi Capitals,Aniruddha Joshi
Delhi Capitals,Lalit Yadav
Delhi Capitals,Lukman Meriwala
Delhi Capitals,Amit Mishra
Delhi Capitals,Shams Mulani
Delhi Capitals,Anrich Nortje
Delhi Capitals,Ripal Patel
Delhi Capitals,Kagiso Rabada
Delhi Capitals,Ajinkya Rahane
Delhi Capitals,Ishant Sharma
Delhi Capitals,Prithvi Shaw
Delhi Capitals,Manimaran Siddharth
Delhi Capitals,Steven Smith
Delhi Capitals,Marcus Stoinis
Delhi Capitals,Vishnu Vinod
Delhi Capitals,Chris Woakes
Delhi Capitals,Umesh Yadav
Mumbai Indians,Rohit Sharma
Mumbai Indians,Anmolpreet Singh
Mumbai Indians,Trent Boult
Mumbai Indians,Jasprit Bumrah
Mumbai Indians,Rahul Chahar
Mumbai Indians,Piyush Chawla
Mumbai Indians,Nathan Coulter-Nile
Mumbai Indians,Quinton de Kock
Mumbai Indians,Ishan Kishan
Mumbai Indians,Marco Jansen
Mumbai Indians,Dhawal Kulkarni
Mumbai Indians,Chris Lynn
Mumbai Indians,Adam Milne
Mumbai Indians,Mohsin Khan
Mumbai Indians,James Neesham
Mumbai Indians,Krunal Pandya
Mumbai Indians,Hardik Pandya
Mumbai Indians,Kieron Pollard
Mumbai Indians,Anukul Roy
Mumbai Indians,Aditya Tare
Mumbai Indians,Arjun Tendulkar
Mumbai Indians,Saurabh Tiwary
Mumbai Indians,Jayant Yadav
Mumbai Indians,Suryakumar Yadav
Mumbai Indians,Yudhvir Singh
Punjab Kings,KL Rahul
Punjab Kings,Mayank Agarwal
Punjab Kings,Fabian Allen
Punjab Kings,Arshdeep Singh
Punjab Kings,Murugan Ashwin
Punjab Kings,Chris Gayle
Punjab Kings,Moises Henriques
Punjab Kings,Deepak Hooda
Punjab Kings,Jalaj Saxena
Punjab Kings,Chris Jordan
Punjab Kings,Sarfaraz Khan
Punjab Kings,Dawid Malan
Punjab Kings,Mandeep Singh
Punjab Kings,Riley Meredith
Punjab Kings,Mohammed Shami
Punjab Kings,Nicholas Pooran
Punjab Kings,Ishan Porel
Punjab Kings,Ravi Bishnoi
Punjab Kings,Jhye Richardson
Punjab Kings,Shahrukh Khan
Sunrisers Hyderabad,David Warner
Sunrisers Hyderabad,Abdul Samad
Sunrisers Hyderabad,Abhishek Sharma
Sunrisers Hyderabad,Khaleel Ahmed
Sunrisers Hyderabad,Jonny Bairstow
Sunrisers Hyderabad,Basil Thampi
Sunrisers Hyderabad,Priyam Garg
Sunrisers Hyderabad,Shreevats Goswami
Sunrisers Hyderabad,Jason Holder
Sunrisers Hyderabad,Kedar Jadhav
Sunrisers Hyderabad,Bhuvneshwar Kumar
Sunrisers Hyderabad,Mohammad Nabi
Sunrisers Hyderabad,Mujeeb Ur Rahman
Sunrisers Hyderabad,Shahbaz Nadeem
Sunrisers Hyderabad,T Natarajan
Sunrisers Hyderabad,Manish Pandey
Sunrisers Hyderabad,Rashid Khan
Sunrisers Hyderabad,Jason Roy
Sunrisers Hyderabad,Wriddhiman Saha
Sunrisers Hyderabad,Sandeep Sharma
Sunrisers Hyderabad,Vijay Shankar
Sunrisers Hyderabad,Jagadeesha Suchith
Sunrisers Hyderabad,Virat Singh
Sunrisers Hyderabad,Kane Williamson
